FIPS,State,County,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15,Population2010,ACCESS2_CrudePrev,BPHIGH_CrudePrev,HIGHCHOL_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,Cluster,Priority_Category
13245,GA,Richmond,67309.0,78928.0,17.263,33.562,39.356,25076.0,35982.0,43.493,12.503,17.941,1517.0,2980.0,96.503,1.971,3.874,5352.0,6.957,16942.0,20130.0,19.0,8.447,10.037,6811.0,7484.0,9.879,3.396,3.731,29002.0,14.461,44505.0,22.191,3985.0,1.987,1385.0,0.69,288.0,0.143,226.0,0.113,3524.0,1.757,3987.0,24.3,40.4,33.8,14.7,15.5,40.1,4.5,1,High
15003,HI,Honolulu,189031.0,220466.0,16.629,19.831,23.129,38219.0,49909.0,30.587,4.009,5.236,3267.0,3638.0,11.354,1.05,1.169,5122.0,1.646,47811.0,57721.0,21.0,5.016,6.055,25630.0,27031.0,5.466,2.689,2.836,58745.0,6.163,6932.0,0.727,22553.0,2.366,74727.0,7.84,771.0,0.081,21388.0,2.244,57905.0,6.075,3871.0,8.7,31.45,34.0,11.4,9.95,22.7,2.8,0,High
16001,ID,Ada,71884.0,67384.0,-6.261,18.321,17.174,14983.0,16925.0,12.962,3.818,4.313,862.0,1014.0,17.644,0.58,0.683,1807.0,1.217,19406.0,18208.0,-6.0,4.946,4.64,7723.0,7193.0,-6.864,1.968,1.833,62106.0,15.829,540.0,0.138,3543.0,0.903,1568.0,0.4,398.0,0.101,130.0,0.033,2643.0,0.673,5278.0,13.3,27.3,29.2,7.2,11.6,27.8,2.5,0,Medium
16027,ID,Canyon,39745.0,36486.0,-8.2,21.037,19.312,15171.0,15215.0,0.291,8.03,8.054,728.0,972.0,33.633,1.143,1.528,2142.0,3.367,13005.0,11605.0,-10.0,6.883,6.142,4009.0,4032.0,0.574,2.122,2.134,30863.0,16.336,182.0,0.096,7912.0,4.188,319.0,0.169,329.0,0.174,82.0,0.043,4713.0,2.495,5536.0,22.1,27.55,29.25,9.1,13.9,36.2,3.05,2,High
17019,IL,Champaign,29430.0,31717.0,7.771,14.636,15.773,7751.0,9046.0,16.696,3.855,4.498,940.0,904.0,-3.773,1.164,1.12,819.0,1.015,7488.0,7596.0,2.0,3.724,3.777,3146.0,3223.0,2.447,1.564,1.603,24845.0,12.356,2261.0,1.124,1799.0,0.895,2863.0,1.424,92.0,0.046,31.0,0.015,1627.0,0.809,3925.0,9.8,26.65,30.6,7.35,12.8,33.05,2.0,0,Medium
17031,IL,Cook,415200.0,373743.0,-9.985,7.993,7.195,91538.0,88307.0,-3.529,1.762,1.7,9316.0,8739.0,-6.192,0.474,0.444,13129.0,0.668,101460.0,89883.0,-11.0,1.953,1.73,56172.0,51871.0,-7.657,1.081,0.999,256597.0,4.94,63894.0,1.23,41892.0,0.806,29638.0,0.571,978.0,0.019,76.0,0.001,22563.0,0.434,3209.5,16.6,28.35,29.5,10.5,12.7,31.4,2.8,0,Low
17043,IL,DuPage,250485.0,216273.0,-13.659,27.318,23.587,36315.0,36358.0,0.119,3.96,3.965,3105.0,2645.0,-14.809,0.921,0.784,4194.0,1.244,61677.0,53860.0,-12.0,6.726,5.874,28934.0,23536.0,-18.659,3.156,2.567,169680.0,18.505,10527.0,1.148,25633.0,2.795,21665.0,2.363,524.0,0.057,61.0,0.007,13819.0,1.507,3600.0,7.7,26.4,31.6,7.3,9.6,27.0,1.8,0,Medium
17089,IL,Kane,101403.0,95266.0,-6.052,19.68,18.489,17682.0,19688.0,11.348,3.431,3.821,1659.0,1619.0,-2.422,0.973,0.949,2197.0,1.288,27446.0,27106.0,-1.0,5.326,5.26,10658.0,9023.0,-15.34,2.068,1.751,77702.0,15.08,4830.0,0.937,17245.0,3.347,3393.0,0.658,353.0,0.068,40.0,0.008,8951.0,1.737,4376.5,20.55,28.15,30.1,10.55,14.0,34.1,2.7,2,Low
17093,IL,Kendall,27650.0,17971.0,-35.004,24.098,15.663,3635.0,3484.0,-4.146,3.168,3.036,499.0,366.0,-26.65,1.311,0.962,357.0,0.937,8237.0,5341.0,-35.0,7.179,4.654,2401.0,1708.0,-28.856,2.092,1.488,15547.0,13.55,729.0,0.635,2373.0,2.068,500.0,0.435,56.0,0.049,11.0,0.009,1131.0,0.986,7884.0,11.2,22.1,24.799999999999997,5.9,11.15,31.35,1.5,0,Medium
17097,IL,Lake,254430.0,248068.0,-2.5,36.168,35.264,36709.0,40861.0,11.311,5.218,5.808,3473.0,3316.0,-4.515,1.437,1.372,4927.0,2.038,68071.0,64113.0,-5.0,9.677,9.114,28454.0,25716.0,-9.623,4.045,3.656,203781.0,28.968,11229.0,1.596,25694.0,3.652,16750.0,2.381,754.0,0.107,132.0,0.019,15425.0,2.193,3693.0,23.8,31.7,31.3,11.5,14.6,35.4,2.9,2,Medium
